Designator,Footprint,Quantity,Value,LCSC Part #
"C1_5, C1_4, C1_3, C1_2, C1, C18_5, C18_4, C18_3, C18_2, C18, C2_5, C2_4, C2_3, C2_2, C2, C21_5, C21_4, C21_3, C21_2, C21, C3_5, C3_4, C3_3, C3_2, C3, C6_5, C6_4, C6_3, C6_2, C6",0402,30,4.7u,
"C10_5, C10_4, C10_3, C10_2, C10, C11_5, C11_4, C11_3, C11_2, C11, C12_5, C12_4, C12_3, C12_2, C12, C13_5, C13_4, C13_3, C13_2, C13, C14_5, C14_4, C14_3, C14_2, C14, C15_5, C15_4, C15_3, C15_2, C15, C16_5, C16_4, C16_3, C16_2, C16, C17_5, C17_4, C17_3, C17_2, C17, C7_5, C7_4, C7_3, C7_2, C7, C8_5, C8_4, C8_3, C8_2, C8, C9_5, C9_4, C9_3, C9_2, C9",0402,55,100n,
"C19_5, C19_4, C19_3, C19_2, C19, C20_5, C20_4, C20_3, C20_2, C20",0603,10,10u,
"C4_5, C4_4, C4_3, C4_2, C4, C5_5, C5_4, C5_3, C5_2, C5",0402,10,33p,
"D1_5, D1_4, D1_3, D1_2, D1",0603,5,LED,
"J1_5, J1_4, J1_3, J1_2, J1",USBPCB,5,USB_A,
"L1_5, L1_4, L1_3, L1_2, L1",IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,5,AOTA,C42411119
"R1_5, R1_4, R1_3, R1_2, R1",0402,5,33,
"R2_5, R2_4, R2_3, R2_2, R2, R3_5, R3_4, R3_3, R3_2, R3",0402,10,27R,
"R4_5, R4_4, R4_3, R4_2, R4, R5_5, R5_4, R5_3, R5_2, R5, R6_5, R6_4, R6_3, R6_2, R6",0402,15,1k,
"SW1_5, SW1_4, SW1_3, SW1_2, SW1",SW-SMD_L3.9-W3.0-P4.45,5,SW_Push,
"U1_5, U1_4, U1_3, U1_2, U1",RP2350A_QFN-60_EP_7.75x7.75_Pitch0.4mm,5,RP2350A-QFN60,
"U2_5, U2_4, U2_3, U2_2, U2",X2SON-4_L1.0-W1.0-P0.65-TL-EP,5,TLV75512PDQNR,C2867150
"Y1_5, Y1_4, Y1_3, Y1_2, Y1",Crystal_SMD_3225-4Pin_3.2x2.5mm,5,Crystal_GND24,
